Player,Squad,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp,Total_Att,Total_Cmp%
Mikkel Damsgaard,Brentford,101,149,67.8,1786,45,57,78.9,40,47,85.1,12,36,33.3
Kevin Danso,Tottenham,24,25,96.0,543,3,3,100.0,15,16,93.8,6,6,100.0
Karl Darlow,Leeds United,113,178,63.5,3404,15,15,100.0,59,59,100.0,39,103,37.9
Maxim De Cuyper,Brighton,116,143,81.1,2016,50,57,87.7,59,67,88.1,6,15,40.0
Liam Delap,Chelsea,9,15,60.0,137,4,7,57.1,5,7,71.4,0,0,
Sepp van den Berg,Brentford,211,238,88.7,3773,74,81,91.4,118,128,92.2,15,21,71.4
Justin Devenny,Crystal Palace,38,53,71.7,619,20,24,83.3,14,18,77.8,3,7,42.9
Kiernan Dewsbury-Hall,Everton,181,232,78.0,2972,90,104,86.5,72,82,87.8,14,36,38.9
Bafodé Diakité,Bournemouth,279,314,88.9,5548,76,83,91.6,175,186,94.1,26,39,66.7
Amad Diallo,Manchester Utd,185,205,90.2,2537,126,131,96.2,49,58,84.5,6,9,66.7
Habib Diarra,Sunderland,93,121,76.9,1328,56,63,88.9,31,38,81.6,4,7,57.1
Rúben Dias,Manchester City,284,310,91.6,4794,124,132,93.9,150,159,94.3,8,16,50.0
Tyler Dibling,Everton,7,7,100.0,115,3,3,100.0,4,4,100.0,0,0,
Lucas Digne,Aston Villa,152,215,70.7,2432,82,94,87.2,58,74,78.4,8,24,33.3
Issa Diop,Fulham,24,35,68.6,414,9,12,75.0,14,14,100.0,1,6,16.7
El Hadji Malick Diouf,West Ham,223,306,72.9,3553,129,151,85.4,72,94,76.6,18,44,40.9
Matt Doherty,Wolves,87,105,82.9,1800,33,36,91.7,42,50,84.0,12,17,70.6
Jeremy Doku,Manchester City,111,133,83.5,1532,73,81,90.1,33,37,89.2,3,4,75.0
Nicolás Domínguez,Nott'ham Forest,37,38,97.4,715,13,13,100.0,18,19,94.7,6,6,100.0
Gianluigi Donnarumma,Manchester City,53,81,65.4,1433,10,10,100.0,22,22,100.0,20,47,42.6
Patrick Dorgu,Manchester Utd,147,204,72.1,2121,88,116,75.9,47,65,72.3,6,10,60.0
Max Dowman,Arsenal,4,4,100.0,66,2,2,100.0,2,2,100.0,0,0,
Martin Dúbravka,Burnley,110,222,49.5,3586,22,22,100.0,45,46,97.8,43,153,28.1
Lewis Dunk,Brighton,339,371,91.4,5953,140,143,97.9,178,189,94.2,15,29,51.7
Odsonne Édouard,Crystal Palace,0,1,0.0,0,0,0,,0,0,,0,0,
Marcus Edwards,Burnley,0,0,,0,0,0,,0,0,,0,0,
Hjalmar Ekdal,Burnley,138,163,84.7,2390,64,67,95.5,63,71,88.7,11,19,57.9
Hugo Ekitike,Liverpool,55,82,67.1,724,34,46,73.9,17,23,73.9,2,2,100.0
Anthony Elanga,Newcastle Utd,51,87,58.6,685,28,40,70.0,16,27,59.3,3,12,25.0
Harvey Elliott,Liverpool,4,8,50.0,52,3,6,50.0,1,1,100.0,0,1,0.0
